,Canada,,,,
Type of currency,"October 26, 2018","October 27, 2018","October 28, 2018","October 29, 2018","October 30, 2018"
"Australian dollar, daily average",0.9274,0,0,0.9279,0.9331
"Brazilian real, daily average",0.357,0,0,0.3582,0.3541
"Chinese renminbi, daily average",0.1887,0,0,0.1885,0.1885
"European euro, daily average",1.4921,0,0,1.4935,1.4917
"Hong Kong dollar, daily average",0.1672,0,0,0.1673,0.1674
"Indian rupee, daily average",0.01784,0,0,0.01787,0.01784
"Indonesian rupiah, daily average",0.000086,0,0,0.000086,0.000086
"Japanese yen, daily average",0.01172,0,0,0.01167,0.01164
"Malaysian ringgit, daily average",0.314,0,0,0.3138,0.314
"Mexican peso, daily average",0.06734,0,0,0.06616,0.0656
"New Zealand dollar, daily average",0.8531,0,0,0.8568,0.8613
"Norwegian krone, daily average",0.1569,0,0,0.1567,0.1563
"Peruvian new sol, daily average",0.3918,0,0,0.3914,0.391
"Russian ruble, daily average",0.01993,0,0,0.02,0.02
"Saudi riyal, daily average",0.3495,0,0,0.3497,0.3501
"Singapore dollar, daily average",0.9489,0,0,0.9487,0.9488
"South African rand, daily average",0.08954,0,0,0.09009,0.08981
"South Korean won, daily average",0.001148,0,0,0.00115,0.001153
"Swedish krona, daily average",0.1435,0,0,0.1436,0.1433
"Swiss franc, daily average",1.3122,0,0,1.3108,1.3085
"Taiwanese dollar, daily average",0.04229,0,0,0.04236,0.04243
"Thai baht, daily average",0.03961,0,0,0.03948,0.03946
"Turkish lira, daily average",0.2339,0,0,0.2364,0.2392
"U.K. pound sterling, daily average",1.6806,0,0,1.6805,1.672
"U.S. dollar, daily average",1.3108,0,0,1.3119,1.3133
"Vietnamese dong, daily average",0.000056,0,0,0.000056,0.000056
